범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법,p_bh,sig_bh
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.95,SP500_x_GPR,-0.00483,0.01393,0.7291,339,322.1,5,HAC+IA(bw=5),0.9064792899408285,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.01,Gold_z,0.02241,0.01135,0.0491,339,3.4,5,HAC+IA(bw=5),0.17547457627118643,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.01,GPR_custom_z,-0.03746,0.03152,0.2354,339,3.4,5,HAC+IA(bw=5),0.5018680203045685,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.01,Gold_x_GPR,0.04642,0.02055,0.0245,339,3.4,5,HAC+IA(bw=5),0.1127608695652174,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.025,Gold_z,0.02849,0.01113,0.0109,339,8.5,5,HAC+IA(bw=5),0.058692307692307696,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.025,GPR_custom_z,-0.04331,0.03111,0.1648,339,8.5,5,HAC+IA(bw=5),0.40241860465116275,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.025,Gold_x_GPR,0.04595,0.02074,0.0274,339,8.5,5,HAC+IA(bw=5),0.11863917525773197,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.05,Gold_z,0.01809,0.0056,0.0014,339,16.9,5,HAC+IA(bw=5),0.01109433962264151,True
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.05,GPR_custom_z,-0.02107,0.01639,0.1994,339,16.9,5,HAC+IA(bw=5),0.457639344262295,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.05,Gold_x_GPR,0.02556,0.01008,0.0117,339,16.9,5,HAC+IA(bw=5),0.061424999999999993,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.1,Gold_z,0.01457,0.00344,0.0,339,33.9,5,HAC+IA(bw=5),0.0,True
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.1,GPR_custom_z,-0.00729,0.009,0.4183,339,33.9,5,HAC+IA(bw=5),0.7084112903225807,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.1,Gold_x_GPR,0.01368,0.00524,0.0094,339,33.9,5,HAC+IA(bw=5),0.051272727272727275,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.2,Gold_z,0.01053,0.00254,0.0,339,67.8,5,HAC+IA(bw=5),0.0,True
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.2,GPR_custom_z,-0.00239,0.00512,0.6405,339,67.8,5,HAC+IA(bw=5),0.8649839228295819,False
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.2,Gold_x_GPR,0.00828,0.00394,0.0362,339,67.8,5,HAC+IA(bw=5),0.1461923076923077,False
